"","Genus_num","PD","MPD","MPD.z","MNTD","MNTD.z","Adult.diel.activity..Kawahara.ADA.","Lin.ADA","ADA.Notes","ADA.Source","Superfamily..group.in.Kawahara.2019","Superfamily","Family","Genus","Common.name","Habitat","Mimicry...aposematism","Mimicry..aposematism.source","Distribution","Climate.zone","Adult.active.season","Altitude","Geography.source","feeding.type","Host.range..HR.","HR..loose.","Host.plant.notes","HR.Notes","Host.type","HR.Source"
"Heliconius melpomene",2,346.497162,42.893,-2.4711794283378,42.893,-2.45120720419122,1,"diurnal","diurnal","Brown Jr 1981","Papilionoidea","Papilionoidea","Nymphalidae","Heliconius","Postman butterfly","around clearings, and along roads and tracks through primary forest, but seems to be more abundant in secondary forest.","Muellerian mimicry with other Heliconiini","https://en.wikipedia.org/wiki/Heliconius_melpomene"," Mexico and Central America","Tropics and Subtropics (25N-5N)","year round.","?","Brown Jr 1981","folivore","1","1","feed only on  Passiflora oerstedii and Passiflora menispermifolia (Passifloraceae)","specialist","vine","Brown Jr 1981"
"Neopseustis meyricki",NA,NA,NA,NA,NA,NA,1,"diurnal","adult collected at noon, flying.","Sugi 1988","Eriocranioidea/Neopseustoidea","Neopseustoidea","Neopseustidae","Neopseustis","?","-","Cryptic grey-brown","Inferred from photo","Taiwan","Subtropics (23N)","?","1000-2000m","Sugi 1988","?","?","?","?","?","?","?"
"Colla micacea",NA,NA,NA,NA,NA,NA,0,"?","not in the list of Kawahara et al. 2018a","?","Bombycoidea","Bombycoidea","Bombycidae","Colla","?","-","Cryptic grey-brown","Inferred from photo"," Colombia and French Guiana","Tropics (2N-5N)","?","?","https://eol.org/pages/30585775/articles","?","?","?","?","?","?","?"
"Notoplusia minuta",NA,NA,NA,NA,NA,NA,0,"nocturnal","likely nocturnal","Miller 1992
Miller and Thiaucourt 2011","Noctuoidea","Noctuoidea","Notodontidae","Notoplusia","?","-","Cryptic grey-brown","Inferred from photo","Central and South America","Tropics, Subtropics (25N-25S)","?","?","https://en.wikipedia.org/wiki/Nystaleinae","folivore","?","?","No record for the species of genus. In the subfamily Nystaleinae, genus Dunama feed on monocots, some species are polyphagous while some only have single host record. In genus Elasmia, some species are polyphgous and some have few reocorded host. In genus Symmerista, S. canicosta is polyphagous, while S. leucitys feed on Acer species. ","?","mostly woody plants","https://en.wikipedia.org/wiki/Nystaleinae
Miller 1992"
"Emmelina monodactyla",13,981.024503,200.068493102564,-1.74478589969109,52.7923573846154,-4.26514984319173,0,"nocturnal","No official record (only online observation) for this species but species in the same genus are nocturnal and active at evening. ","Imre 2015
http://naturewonders.org/picture?/760","Alucitoidea/
Pterophoroidea","Pterophoroidea","Pterophoridae","Emmelina","Morning-glory plume moth","gardens, along hedgerows, roadsides and railway embankments, and many other disturbed habitats where its larval foodplants Convolvulus and Calystegia flourish.","Cryptic grey-brown","Inferred from photo","Europe, Japan, central Asia, North Africa and North America","Temperate (50N-25N)","year round.","?","https://en.wikipedia.org/wiki/Emmelina_monodactyla","folivore","0","0","Mainly feed on Convolvulaceae species, but also feed on Amaranthaceae sp., Asteraceae sp., and Solanaceaea sp.","generalist","herbaceous plant","Kim et al. 2010"
"Ascia monuste",17,1057.145486,127.977503808824,-4.39974219102609,84.6154636470588,-3.03184208494071,1,"diurnal","diurnal","Barros and Zucoloto 1999","Papilionoidea","Papilionoidea","Pieridae","Ascia","Great southern white","Salt marshes, coastal dunes, open fields, and gardens.","-","-","Atlantic and Gulf coasts of the United States, and south through tropical America to Argentina.","Tropics and Subtropics (35N-35S)","November-May","?","Santos et al. 2019","folivore","1","1","feed on species of Brassica (Brassicaceae)","specialist","herbaceous plant","Santos et al. 2019"
"Bombyx mori",2,448.785622,247.46967,-0.172626728207401,247.46967,-0.0113008575989002,0,"nocturnal","based on activity patterns of neurosecretory cells.","Eguchi et al. 1985
Ichikawa 1998","Bombycoidea","Bombycoidea","Bombycidae","Bombyx","silk moth","entirely domesticated, unable to reproduce in wild","Cryptic grey-brown","Inferred from photo","?","?","?","?","","folivore","1","1"," white mulberry (Moraceae) leaves","specialist","broadleaf tree","Nayar and Fraenkel  1962"
"Givira mucida",NA,NA,NA,NA,NA,NA,0,"nocturnal","Based on the collectiong method on one of the specimen from http://nitro.biosci.arizona.edu/zeeb/butterflies/figs/moths/Cossidae/2660.jpg","https://bugguide.net/node/view/368186","Cossoidea","Cossoidea","Cossidae","Givira","Carpenter miller","""Givira delindae occurs in White Sands National Monu-ment, Otero County, New Mexico "" - these are sand dunes","Cryptic grey-brown","Inferred from photo","California and New Mexico, North America","Mediterranean (30N-40N)","April-September","?","https://en.wikipedia.org/wiki/Givira_mucida","stem borer","?","?","can't find recrod","?","?","?"
"Eupterote muluana",NA,NA,NA,NA,NA,NA,0,"nocturnal","adult attracted by light trap at night. Not in Kawahara et al. 2018a.","Jaroensutasinee et al. 2011","Bombycoidae","Bombycoidae","Eupterotidae","Eupterote","?","The two specimens were taken in upper montane (mossy) forest on G. Mulu. ","Cryptic grey-brown","Inferred from photo","Berneo island","Tropics (0N)","year round.","?","https://www.mothsofborneo.com/part-3/eupterotidae/eupterotidae_1_6.php","folivore","0","0","some species are polyphagous (E. asclepiades, E. fabia, E. undata) . No specialist recorded.","generalist","herbaceous plant, shrub and boadleaf tree","https://en.wikipedia.org/wiki/Eupterote
https://www.mothsofborneo.com/part-3/eupterotidae/eupterotidae_1_5.php
Barlow 1982"
"Darapsa myron",3,498.615912,198.199973333333,-0.840900674297052,148.930553333333,-1.55999296959102,0,"nocturnal","nocturnal active at dusk.","https://en.wikipedia.org/wiki/Darapsa_myron","Bombycoidae","Bombycoidae","Sphingidae","Darapsa","Virginia creeper sphinx","Woodlands and brushy areas.","Cryptic grey-brown","Inferred from photo","North America","Temperate (50N-25N)","July-August","?","https://en.wikipedia.org/wiki/Darapsa_myron","folivore","1","1","feed on Vitaceae","specialist","vine","https://en.wikipedia.org/wiki/Darapsa_myron
Baranowski and Preisser 2018"
"Mycastor nealces",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","Kawahara et al. 2019","Papilionoidea","Papilionoidea","Riodinidae","Mycastor","?","-","-","-"," Guyana , Brazil and Peru","?","?","?","https://fr.wikipedia.org/wiki/Mycastor_nealces","?","?","?","?","?","?","?"
"Palaeagapetus nearcticus",0,0,NA,NA,NA,NA,2,"","","","","Hydroptiloidea","Hydroptilidae","Palaeagapetus","","-","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Palaephatus nielseni",NA,NA,NA,NA,NA,NA,0,"nocturnal","active during dusk.","Davis 1986","Palaephatoidea/Tischerioidea","Palaephatoidea","Palaephatidae","Palaephatus","?","forest","Cryptic grey-brown","Inferred from photo","South America, southern Chile and Argentina","Temperate (50S-30S)","October-November","?","Davis 1986","?","?","?","No record. One species in the same genus has been recorded to feed on Ugni molinae (Myrtaceae)","?","shrub","Davis 1986
Aguilera et al. 2005"
"Phaecasiophora niveiguttana",3,583.369152,262.820768,0.0557042159050963,253.816095666667,0.397639939954491,0,"nocturnal","no record for this species but speice from the same genus show nocturnal activity mostly.Interestingly, spruce budworm are nocturnal but female lay eggs in the afternoon (daytime).","Danthanarayana 1976","Immoidea/Tortricoidea","Tortricoidea","Tortricidae","Phaecasiophora","Labyrinth moth","Deciduous forests.","Cryptic grey-brown","Inferred from photo","North America","Temperate (40N-25N)","January-September","?","Kimball 1965","folivore","0","1","feed on Hamamelidaceae, Lauraceae","generalist","broadleaf tree","Kimball 1965"
"Tolype notialis",NA,NA,NA,NA,NA,NA,0,"all","active all day.","Fullard and Napoleone 2001","Lasiocampoidea","Lasiocampoidea","Lasiocampidae","Tolype","?","Presumably southern Pine forests.","Cryptic grey-brown","Inferred from photo","North America","Temperate (40N-30N)","June-September","?","https://www.butterfliesandmoths.org/species/Tolype-notialis
https://www.butterfliesandmoths.org/species/Tolype-notialis","folivore","1","1","Feed mainly on conifer","specialist","conifer","Covell Jr 1984
http://dpr.ncparks.gov/moths/view.php?sciName=Tolype%20notialis"
"Ectropis obliqua",16,1750.133695,236.701746358333,-0.740351880042632,162.87252825,-0.280433179588113,0,"nocturnal","adult can be collected by UV light trap.","Kamikura and Sakata 2019","Geometroidea","Geometroidea","Geometridae","Ectropis","Tea geometrid moth","pest of tea crops","Cryptic grey-brown","Inferred from photo","China","Subtropics (30N-20N)","year round.","?","Wang et al. 2019","folivore","0","0","mainly tea (Theaceae) , but also Aceraceae, Araliaceae, Fagaceae, Rosaceae, Salicaceae etc. ","generalist","herbaceous plant, shrub and boadleaf tree","Kamikura and Sakata 2019
https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?searchPageURL=index.dsml&Familyqtype=starts+with&Family=&PFamilyqtype=starts+with&PFamily=&Genusqtype=starts+with&Genus=Ectropis&PGenusqtype=starts+with&PGenus=&Speciesqtype=starts+with&Species=obliqua&PSpeciesqtype=starts+with&PSpecies=&Country=&sort=Family"
"Metaphatus ochraceus",NA,NA,NA,NA,NA,NA,1,"all","can be capture by UV light trap. Also have larger eye compared to strictly diurnal taxa such as genus Sesommata.","Davis 1986","Palaephatoidea/Tischerioidea","Palaephatoidea","Palaephatidae","Metaphatus","?","-","-","-","South America","Temperate (40S-35S)","August-March","600-1200m","Davis 1986","?","?","?","?","?","?","Davis 1986"
"Cameraria ohridella",2,334.147264,18.19314,-2.44987400997096,18.19314,-2.46163905515077,1,"diurnal","diurnal","Francke et al. 2002","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Gracillariidae","Cameraria","Horse chestnut leafminer","forests with horse chestnut","Cryptic grey-brown","Inferred from photo","Europe","Temperate (60N-40N)","June-October","0-1000m","Grabenweger and Grill 2000
Straw and Bellett-Travers 2012","folivore, miner","1","1","feed on  horse chestnut Aesculus hippocastanum (Sapindaceae)","specialist","broadleaf tree","Grabenweger and Grill 2000"
"Catoptria oregonicus",NA,NA,NA,NA,NA,NA,0,"nocturnal","","Grimble et al. 1992
Dewaard et al. 2009","Pyraloidea","Pyraloidea","Crambidae","Catoptria","western catoptria","""meadows in mountains and foothills; adults are nocturnal and come to light""","Cryptic grey-brown","Inferred from photo"," British Columbia and Alberta to Montana, Oregon and northern coastal California, North America","Temperate (40N-50N)","July-August","?","http://www.entomology.museums.ualberta.ca/searching_species_details.php?s=2867","?","?","?","Larvae of a closely related European species (Catoptria permutatella) feed on mosses.","?","moss","http://www.entomology.museums.ualberta.ca/searching_species_details.php?s=2867
https://bugguide.net/node/view/19215"
"Arctopsyche palpata",NA,NA,NA,NA,NA,NA,2,"","","","","Hydropsychoidea","Hydropsychidae","Arctopsyche","","vegetation near streams and rivers","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Pterophorus pentadactyla",3,406.280297,98.58617,-2.00163850362111,63.8726203333333,-3.23630446267074,0,"nocturnal","Plume moth are usually active in the evneing and at ngiht.","Matthews 2008","Alucitoidea/
Pterophoroidea","Pterophoroidea","Pterophoridae","Pterophorus","White plume moth","typically found in rough grassland, on road verges and in gardens","Cryptic grey-brown","Inferred from photo","Europe and the Middle East, as far east as Iran, also North Africa","Temperate (50N-25N)","June-July","?","https://en.wikipedia.org/wiki/Pterophorus_pentadactyla","florivore, folivore","1","1","feed on species of Convolvulaceae","specialist","herbaceous plant","Manley 2015"
"Psychonoctua personalis",7,1002.864904,238.16199552381,-0.360149337719833,215.606312,0.246672505559838,0,"?","not in the list of Kawahara et al. 2018a","Hay  1970","Cossoidea","Cossoidea","Cossidae","Psychonoctua","?","-","Cryptic grey-brown","Inferred from photo","Cuba, Jamaica, Hispaniola and Puerto Rico ","Tropics (N15-N20)","?","?","https://en.wikipedia.org/wiki/Psychonoctua_personalis","stem borer","0","0","no description of type of trees.","generalist","broadleaf tree","http://ftp.funet.fi/index/Tree_of_life/insecta/lepidoptera/ditrysia/cossoidea/cossidae/zeuzerinae/psychonoctua/"
"Amata phegea",0,0,NA,NA,NA,NA,1,"diurnal","diurnal","https://en.wikipedia.org/wiki/Nine-spotted_moth#cite_note-CC-1","Noctuoidea","Noctuoidea","Erebidae","Amata","Nine-spotted moth","open woods, rocky walls, rocky slopes and bushy grasslands","Müllerian mimicry as strong resemblance to Zygaena ephialtes","https://www.invasive.org/browse/detail.cfm?imgnum=5582295","Southern Europe","Temperate (50N-35N)","May-August","?","https://en.wikipedia.org/wiki/Nine-spotted_moth","folivore","0","0","Polyphagous no formal record found","generalist","herbaceous, grass","https://en.wikipedia.org/wiki/Nine-spotted_moth#cite_note-CC-1"
"Hylephila phyleus",12,528.564827,53.1185357424242,-5.31682544787404,27.8812953333333,-4.72368069234183,1,"diurnal","diurnal","Tashiro and Mitchell 1985","Papilionoidea","Papilionoidea","Hesperiidae","Hylephila","Fiery skipper","in among grasses and in open areas- quite common around lawns.","Cryptic grey-brown","Inferred from photo","North, Central, and South America","Tropics, Subtropics, and Temperate (40N-40S)","year round.","?","Tashiro and Mitchell 1985
Shapiro 2009
Opler 1995","folivore","1","1","feed on grass (Poaceae) with a preference of bermudagrass Cynodon spp.","specialist","grass","Tashiro and Mitchell 1985"
"Sphinx pinastri",4,440.55981,79.2327983333333,-3.36157527833003,75.2630075,-2.92087766201933,0,"nocturnal","nocturnal flower visitor.","Steen et al. 2019","Bombycoidae","Bombycoidae","Sphingidae","Sphinx","Pine hawk-moth","Conifer forests.","Cryptic grey-brown","Inferred from photo","Palearctic realm","Temperate (35N-60N)","April-August","?","https://en.wikipedia.org/wiki/Sphinx_pinastri","folivore","1","1","feed on pine and spruce (Pinaceae)","specialist","conifer","https://en.wikipedia.org/wiki/Sphinx_pinastri
https://www.butterfliesandmoths.org/species/Sphinx-pinastri"
"Dendrolimus pini",6,582.91108,134.217565333333,-2.53598162432555,89.8693566666667,-2.81739056409746,0,"nocturnal","adult can be collected at night time. But in the same subfamily Lasiocampinae, some species in the genus Malacosoma are strictly diurnal.","Huseyinoglu and Atay 2017
Fullard and Napoleone 2001","Lasiocampoidea","Lasiocampoidea","Lasiocampidae","Dendrolimus","Pine-tree lappet","conifer forests","Cryptic grey-brown","Inferred from photo","most of Europe ranging to eastern Asia.","Temperate (70N-40N)","July-September","?","Ray et al. 2016","folivore","1","1","Feed mainly on pines (Pinus spp.) and some other conifers (Pinea spp.) Pinaceae","specialist","conifer","Ray et al. 2016"
"Apatelodes pithala",NA,NA,NA,NA,NA,NA,0,"nocturnal","the ADA was based on A. torrefacta in Kawahara et al. 2018a.","Lemaire and Minet 1998
Kawahara et al. 2017","Bombycoidea","Bombycoidea","Apatelodidae","Apatelodes","American silkworm moth","Apatelodes torrefacta is found in ""Deciduous forests and adjacent areas""","Cryptic grey-brown","Inferred from photo","Guerrero, Mexico","Tropics (16N-18N)","?","?","https://en.wikipedia.org/wiki/Guerrero","folivore","0","0","many of the species are generalist of broadleaf trees (e.g. Apatelodes torrefacta).","generalist","broadleaf tree","https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Family=Apatelodidae&sort=Family&beginIndex=0&Genus=Apatelodes&searchPageURL=browse%2edsml%3fFamily%3dApatelodidae%26amp%3bsort%3dFamily%26sort%3dFamily%26beginIndex%3d30%26amp%3bGenus%3dApatelodes%26Genus%3dApatelodes
http://caterpillars.unr.edu/lsacat/species/species.pdf"
"Synemon plana",2,335.463066,20.82455,-2.59519717750453,20.82455,-4.26347583483271,1,"diurnal","diurnal","Braby and Dunford 2006
https://en.wikipedia.org/wiki/Synemon_plana#Life_cycle","Cossoidea","Cossoidea","Castniidae","Synemon","Golden sun moth","open woodlands or Grasslands dominated by wallaby grasses","Cryptic grey-brown","Inferred from photo","Southeastern Australia","Temperate (35S-25S)","November-January","lowland","Braby and Dunford 2006
https://en.wikipedia.org/wiki/Synemon_plana#Life_cycle","folivore","1","1","feed on Austrodanthonia spp (Poaceae)","specialist","grass","Braby and Dunford 2006
https://en.wikipedia.org/wiki/Synemon_plana#Life_cycle"
"Arctia plantaginis",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","https://en.wikipedia.org/wiki/Parasemia_plantaginis","Noctuoidea","Noctuoidea","Erebidae","Arctia","Wood tiger moth","wet subalpine meadows","aposematic","Inferred from photo"," Anatolia, Transcaucasus, northern Iran, Kazakhstan, Mongolia, China, Korea and Japan,  North America","Tropics, Subtropics and Temperate (70N-10N)","?","?","
https://en.wikipedia.org/wiki/Parasemia_plantaginis","folivore","0","0","polyphagous","generalist","herbaceous","Lindstedt et al. 2010"
"Danaus plexippus",18,987.130605,127.141157594771,-4.84058870801475,69.0337006666667,-3.79724422051653,1,"diurnal","diurnal","Sourakov 2009","Papilionoidea","Papilionoidea","Nymphalidae","Danaus","Monarch butterfly","Many open habitats including fields, meadows, weedy areas, marshes, and roadsides.","Aposematic, Muellerian mimicry with Viceroy","common knowledge","North, Central and South America and Australia","Tropics, Subtropics and Temperate (50N-5S)","year round.","0-2500m","Sourakov 2009","folivore","1","1","feed on milkweed (Asclepidaceae)","specialist","herbaceous plant","Sourakov 2009"
"Vitacea polistiformis",2,365.605832,81.11,-2.01938938312868,81.11,-2.14533136192959,1,"diurnal","diurnal","Webb et al. 1992","Sesioidea","Sesioidea","Sesiidae","Vitacea","Grape root borer","-","Polistes mimic","Inferred from photo","North America","Subtropics and Temperate (45N-25N)","July-September","?","Webb et al. 1992","rhizophagous","1","1","feed in grape, Vitis spp. (Vitaceae)","specialist","vine","Webb et al. 1992"
"Archaeoses polygrapha",2,329.794192,9.48721,-2.54051062071645,9.48721,-2.85053399447909,0,"nocturnal","Kawahara et al. 2018a use another species A. pentasema for ADA, and also use the general behavior of the family instead of this species.
Cossidae are mostly nocturnal except Southeast Asian subfamily Ratardinae. ","https://en.wikipedia.org/wiki/Cossidae
Edwards et al. 1998","Cossoidea","Cossoidea","Cossidae","Archaeoses","Carpenter miller","-","Cryptic grey-brown","Inferred from photo","Australia","?","?","?","https://en.wikipedia.org/wiki/Archaeoses_polygrapha","stem borer","0","0","may be generalist given other species in the genus (such as Cossus insularis and C. cossus)","generalist","broadleaf tree","Chen  et al. 2006
https://en.wikipedia.org/wiki/Cossus_cossus#Recorded_food_plants"
"Cydia pomonella",13,977.800361,172.363849076923,-2.47589482608231,86.1939680769231,-2.97252304019113,2,"crepuscular","crepuscular","Casado et al. 2006","Immoidea/Tortricoidea","Tortricoidea","Tortricidae","Cydia","Codling moth","-","Cryptic grey-brown","Inferred from photo","World wide, Temperate regions","Temperate (70N-35N, 50S-35S)","May-August","?","Dorn et al. 2001
Jiang et al. 2018","frugivore","1","1","feed on pome fruit (Rosaceae)","specialist","broadleaf tree","Dorn et al. 2001"
"Urbanus proteus",19,1221.770936,160.945329368421,-3.7389122854834,78.3542094210526,-3.38758578378067,1,"diurnal","diurnal","Van Dam and Wilde 1977","Papilionoidea","Papilionoidea","Hesperiidae","Urbanus","Long-tailed skipper","Brushy fields, edges of woods, gardens, and other disturbed open habitats.","-","-","North, Central, and South America","Tropics and Subtropic (30N-15S)","year round.","?","Van Dam and Wilde 1977","folivore","1","1","feed on  bean Phaseolus vulgari (Fabaceae)","specialist","vine","Van Dam and Wilde 1977"
"Auriculoceryx pterodactyliformis",NA,NA,NA,NA,NA,NA,0,"nocturnal","adult attracted by light trap at night. Not in Kawahara et al. 2018a.","Chung et al. 2018","Noctuoidea","Noctuoidea","Erebidae","Auriculoceryx","?","Originally described from above 1000m on G. Kinabalu, this species comes frequently to light in forested localities and open habitats from the lowlands to this altitude. The highest record was from 1760m. During the Mulu survey it was recorded from all lowland forest types but most abundantly in hill dipterocarp forest on the lower slopes of G. Mulu. It was only taken in sites where the trap was set in the open (clearings and river courses). ","Wasp mimic","Inferred from photo","Berneo island","Tropics (0N)","year round."," lowlands to about 1760 meters","https://www.mothsofborneo.com/part-6/syntominae/syntominae-7-4.php","?","?","?","no record found in the whole genus.","?","?","?"
"Dichomeris punctidiscella",NA,NA,NA,NA,NA,NA,0,"nocturnal","Adult can be collected by blacklight trap.","Brown 2003","Gelechioidea","Gelechioidea","Gelechiidae","Dichomeris","Spotted dichomeris moth","forest at least in part","Cryptic grey-brown","Inferred from photo","Eastern half of the United States","Temperate (50N-30N)","?","?","https://bugguide.net/node/view/28043","?","?","?","no record found. ","?","?","?"
"Lantanophaga pusillidactyla",4,559.635181,196.265166833333,-0.944809000941776,119.34651375,-2.24286648205835,0,"nocturnal","Plume moth are usually active in the evneing and at ngiht.","Matthews 2008","Alucitoidea/
Pterophoroidea","Pterophoroidea","Pterophoridae","Lantanophaga","Lantana plume moth","-","Cryptic grey-brown","Inferred from photo","Native to Southern United States, Mexico, the Caribbean and South America, and was introduced to many places.","Tropics, Subtropics, Temperate (40N-5N)","year round.","?","https://en.wikipedia.org/wiki/Lantanophaga_pusillidactyla","florivore","0","0","feed on flower of Lantana camara, and other Lantana spp (Verbenaceae). also feed on species from Euphorbiaceae, Lamiaceae, Lentibulariaceae.","gneralist","herbaceous plant","Marchese and Bella 2007"
"Morpheis pyracmon",5,654.878449,203.874892,-1.03789766162355,142.9648084,-1.53595758087686,0,"nocturnal","","http://www.learnaboutbutterflies.com/Andes%20-%20Morpheis%20pyracmon.htm","Cossoidea","Cossoidea","Cossidae","Morpheis","Fissured Bark",""" This is a cloudforest species found at elevations between about 400-1200m.""","tree bark mimics","http://www.learnaboutbutterflies.com/Andes%20-%20Morpheis%20pyracmon.htm","Venezuela, Ecuador and Peru, South America","Tropics (0-12N)","?","400-1200m","http://www.learnaboutbutterflies.com/Andes%20-%20Morpheis%20pyracmon.htm","stem borer","?","?","only one record on Mimosa pigra (Fabaceae), but was also determine to not be a prefered host.","?","broadleaf tree","Heard and Segura 2004"
"Amphipyra pyramidea",9,909.987323,212.409604944444,-1.12618503184026,106.111086222222,-2.44170688283432,0,"nocturnal","adult can be capture at night.","Ayberk et al. 2010","Noctuoidea","Noctuoidea","Noctuidae","Amphipyra","Humped green fruitworm","-","Cryptic grey-brown","Inferred from photo","North America, US and southern Canada, Europe, North Africa, the Near East, Iran, southern Siberia, northern India, Korea and Japan","Temperate (50N-25N)","August-October","?","https://en.wikipedia.org/wiki/Copper_underwing","folivore","0","0","polyphagous, feeds on a variety of trees and shrubs, including ash tree (Fraxinus, Oleaceae), privet (Ligustrum, Oleaceae), honeysuckle (Lonicera, Caprifoliaceae), apple (Malus, Rosaceae), oak (Quercus, Fagaceae), Rhododendron (Ericaceae), rose (Rosaceae), wild service tree (Sorbus, Rosaceae) and lilac (Syringa, Oleaceae)","generalist","broadleaf tree and shrub","https://en.wikipedia.org/wiki/Copper_underwing"
"Saturnia pyri",21,1740.212813,223.39349287619,-1.36637835050226,103.730594619048,-2.26802436026032,0,"nocturnal","nocturnal","Szanyi 2014","Bombycoidae","Bombycoidae","Saturniidae","Saturnia","Giant peacock moth","Terrestrial","Cryptic grey-brown","Inferred from photo","Europe, Russia, Ukraine, Czech Republic, Slovak Republic, North Macedonia and Italy and extends into Siberia and north Africa","Subtropics and Temperate (65N-25N)","Feburary-June","?","Rivnay and Sobrio 2009
https://en.wikipedia.org/wiki/Saturnia_pyri","folivore","0","0","feeding on many plant families.","generalist","Conifer, broadleaf tree, and shrub.","Krieger et al. 1971
http://tpittaway.tripod.com/silk/s_pyr.htm"
"Macroglossum pyrrhosticta",2,437.391692,224.68224,-0.306752639578243,224.68224,-0.379546187589291,0,"diurnal","predominently diurnal","Tang et al. 2020","Bombycoidae","Bombycoidae","Sphingidae","Macroglossum","Maile Pilau hornworm","-","Cryptic grey-brown","Inferred from photo"," Sri Lanka, eastern India, Nepal, Thailand, central and eastern China, South Korea, North Korea, Japan, the southern Russian Far East, Taiwan, the Philippines (Luzon), eastern Malaysia and Indonesia.","Tropics, Subtropics, Temperate (50N-0N)","June-October","?","https://en.wikipedia.org/wiki/Macroglossum_pyrrhosticta
","folivore","1","1","feed on genus Paederia spp. (Rubiaceae)","specialist","vine","Kagata and Ohgushi 2012
https://en.wikipedia.org/wiki/Macroglossum_pyrrhosticta"
"Pseudopostega quadristrigella",2,346.540962,42.9802,-2.03420056115073,42.9802,-2.05568710957544,0,"nocturnal","collect at light. Many speices fly at duck and in the evening.","Davis and Stonis 2007","Nepticuloidea","Nepticuloidea","Opostegidae","Pseudopostega","?","-","Cryptic grey-brown","Inferred from photo","North America, Maine west to South Dakota and south to Texas.","Temperate (45N-25N)","May-August","?","https://en.wikipedia.org/wiki/Pseudopostega_quadristrigella
Davis and Stonis 2007","folivore, miner","1","1","No record for this species. many are miners in stem, cambium, leaf etc.","specialist","herbaceous plant, broadleaf tree, shrub","Regier et al. 2015
Davis and Stonis 2007"
"Agathiphaga queenslandensis",2,330.27708,10.45378,-2.83552207012749,10.45378,-2.61742534292048,0,"nocturnal","The observation in nature was very rare, so whehter it is nocturanl is questionable.","Regier et al. 2015","Agathiphagoidea/
Micropterigoidea/
Heterobathmioidea","Agathiphagoidea","Agathiphagidae","Agathiphaga","kauri moth","Rainforest; dry marginal rainforest","Cryptic grey-brown","Inferred from photo","Queensland, Australia","Subtropics (25N)","?","0-244 ","https://en.wikipedia.org/wiki/Fraser_Island#Geography_and_ecology; 
https://en.wikipedia.org/wiki/Atherton_Tableland","frugivore (seed borer)","1","1","single host, Agathis robusta (Araucariaceae), seed borer","specialist","conifer","https://biodiversity.org.au/afd/taxa/Agathiphaga_queenslandensis"
"Tischeria quericella",NA,NA,NA,NA,NA,NA,0,"?","?","?","Palaephatoidea/Tischerioidea","Tischerioidea","Tischeriidae","Tischeria","?","a congener is found in ""deciduous woodland""","Cryptic grey-brown","Inferred from photo","?","?","?","?","?","?","?","?","?","?","?","?"
"Psilocorsis reflexella",9,995.331747,212.996077055556,-1.10800433044183,130.094223111111,-1.77881331146193,0,"nocturnal","general behavior of the family.","Hodges 1998","Gelechioidea","Gelechioidea","Depressariidae","Psilocorsis","Dotted leaftier moth","-","Cryptic grey-brown","Inferred from photo","North America, Georgia, Illinois, New Jersey, New York, Oklahoma and Tennessee","Temperate (30N-40N)","May-September","?","https://en.wikipedia.org/wiki/Psilocorsis_reflexella
Carroll et al. 1979","folivore","0","1","Feed on Quercus sp. (Fagaceae). Can also be rear on hickory (Juglandaceae)","generalist","broadleaf tree","Fukui 2001
Carroll et al. 1979"
"Prionoxystus robiniae",15,1554.95293,223.021445257143,-1.15468058805675,140.577653533333,-1.05362468427441,0,"?","","Hay  1970","Cossoidea","Cossoidea","Cossidae","Prionoxystus","Carpenterworm","Deciduous forests","mimics bark; male is darker and has bright hindwings","http://treefruit.wsu.edu/crop-protection/opm/carpenterworm/ https://en.wikipedia.org/wiki/Prionoxystus_robiniae","North America","Humid subtropical, Mediterranean, Continental (30N-50N)","April-August","?","https://en.wikipedia.org/wiki/Prionoxystus_robiniae
Hay  1970","stem borer","0","0","variety of deciduous trees including oak (Fagaceae), birch (Betulaceae), ash (Oleaceae), black locust (Fabaceae), elm (Ulmaceae), maple (Sapindaceae), willow (Salicaceae), cottonwood (Salicaceae), pecan (Juglandaceae), and less commonly on fruit trees such as cherry, peach, pear, and apricot (Rosaceae).","generalist","broadleaf tree","http://treefruit.wsu.edu/crop-protection/opm/carpenterworm/"
